[exp12_head4_emb256_bs16_it1000_do0.1] iter 0/1000 | train_now 4.2344 | train_eval 4.1708 | val 4.1731 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 591.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 640/1000 | train_now 2.0755 | train_eval 2.0480 | val 2.0984 | gap -0.0505 | lr 2.07e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 804.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 650/1000 | train_now 2.1765 | train_eval 2.0508 | val 2.0986 | gap -0.0478 | lr 1.97e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 828.3 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 660/1000 | train_now 2.1114 | train_eval 2.0402 | val 2.0909 | gap -0.0507 | lr 1.88e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 806.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 670/1000 | train_now 2.1420 | train_eval 2.0159 | val 2.0963 | gap -0.0804 | lr 1.78e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 827.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 680/1000 | train_now 2.0481 | train_eval 2.0208 | val 2.0956 | gap -0.0748 | lr 1.68e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 807.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 690/1000 | train_now 2.1003 | train_eval 2.0202 | val 2.0717 | gap -0.0515 | lr 1.59e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 804.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 700/1000 | train_now 2.0779 | train_eval 2.0096 | val 2.0808 | gap -0.0712 | lr 1.50e-04 | params 4.77M | host_mem 17.2% | gpu_mem 79.4MB | 841.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 710/1000 | train_now 2.0377 | train_eval 2.0167 | val 2.0595 | gap -0.0428 | lr 1.41e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 817.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 720/1000 | train_now 2.1034 | train_eval 1.9945 | val 2.0762 | gap -0.0817 | lr 1.32e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 864.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 730/1000 | train_now 2.0625 | train_eval 2.0009 | val 2.0696 | gap -0.0687 | lr 1.24e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 822.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 740/1000 | train_now 2.1074 | train_eval 1.9828 | val 2.0416 | gap -0.0588 | lr 1.15e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 806.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 750/1000 | train_now 2.0259 | train_eval 1.9808 | val 2.0622 | gap -0.0814 | lr 1.07e-04 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 828.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 760/1000 | train_now 2.0477 | train_eval 1.9729 | val 2.0525 | gap -0.0796 | lr 9.93e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 805.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 770/1000 | train_now 2.0256 | train_eval 1.9927 | val 2.0472 | gap -0.0544 | lr 9.16e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 800.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 780/1000 | train_now 2.0635 | train_eval 1.9806 | val 2.0529 | gap -0.0723 | lr 8.42e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 801.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 790/1000 | train_now 2.0335 | train_eval 1.9724 | val 2.0261 | gap -0.0537 | lr 7.71e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 803.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 800/1000 | train_now 2.0234 | train_eval 1.9645 | val 2.0387 | gap -0.0742 | lr 7.02e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 825.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 810/1000 | train_now 1.9986 | train_eval 1.9613 | val 2.0464 | gap -0.0851 | lr 6.36e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 802.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 820/1000 | train_now 2.0518 | train_eval 1.9665 | val 2.0394 | gap -0.0729 | lr 5.73e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 801.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 830/1000 | train_now 2.0547 | train_eval 1.9662 | val 2.0357 | gap -0.0695 | lr 5.13e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 802.7 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 840/1000 | train_now 2.0000 | train_eval 1.9731 | val 2.0208 | gap -0.0477 | lr 4.56e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 803.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 850/1000 | train_now 2.0235 | train_eval 1.9568 | val 2.0364 | gap -0.0796 | lr 4.02e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 826.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 860/1000 | train_now 2.0564 | train_eval 1.9418 | val 2.0515 | gap -0.1098 | lr 3.51e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 869.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 870/1000 | train_now 2.0005 | train_eval 1.9557 | val 2.0396 | gap -0.0839 | lr 3.04e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 819.5 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 880/1000 | train_now 1.9946 | train_eval 1.9602 | val 2.0250 | gap -0.0648 | lr 2.59e-05 | params 4.77M | host_mem 17.3% | gpu_mem 79.4MB | 819.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 890/1000 | train_now 2.0011 | train_eval 1.9591 | val 2.0256 | gap -0.0665 | lr 2.18e-05 | params 4.77M | host_mem 17.1% | gpu_mem 79.4MB | 810.6 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 900/1000 | train_now 2.0211 | train_eval 1.9405 | val 2.0118 | gap -0.0714 | lr 1.81e-05 | params 4.77M | host_mem 17.1% | gpu_mem 79.4MB | 797.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 910/1000 | train_now 2.0186 | train_eval 1.9581 | val 2.0236 | gap -0.0654 | lr 1.47e-05 | params 4.77M | host_mem 17.1% | gpu_mem 79.4MB | 834.0 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 920/1000 | train_now 2.0597 | train_eval 1.9541 | val 2.0185 | gap -0.0643 | lr 1.16e-05 | params 4.77M | host_mem 17.1% | gpu_mem 79.4MB | 987.9 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 930/1000 | train_now 2.0061 | train_eval 1.9444 | val 2.0314 | gap -0.0870 | lr 8.91e-06 | params 4.77M | host_mem 16.8% | gpu_mem 79.4MB | 934.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 940/1000 | train_now 2.0092 | train_eval 1.9584 | val 2.0309 | gap -0.0725 | lr 6.56e-06 | params 4.77M | host_mem 16.8% | gpu_mem 79.4MB | 799.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 950/1000 | train_now 2.0017 | train_eval 1.9409 | val 2.0346 | gap -0.0936 | lr 4.56e-06 | params 4.77M | host_mem 16.8% | gpu_mem 79.4MB | 804.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 960/1000 | train_now 2.0343 | train_eval 1.9398 | val 2.0357 | gap -0.0959 | lr 2.92e-06 | params 4.77M | host_mem 16.8% | gpu_mem 79.4MB | 801.1 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 970/1000 | train_now 2.0506 | train_eval 1.9377 | val 2.0331 | gap -0.0954 | lr 1.64e-06 | params 4.77M | host_mem 16.8% | gpu_mem 79.4MB | 800.4 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 980/1000 | train_now 2.0468 | train_eval 1.9358 | val 2.0145 | gap -0.0787 | lr 7.31e-07 | params 4.77M | host_mem 16.9% | gpu_mem 79.4MB | 807.8 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 990/1000 | train_now 1.9821 | train_eval 1.9538 | val 2.0245 | gap -0.0707 | lr 1.83e-07 | params 4.77M | host_mem 16.9% | gpu_mem 79.4MB | 801.2 ms/it
[exp12_head4_emb256_bs16_it1000_do0.1] iter 999/1000 | train_now 2.0738 | train_eval 1.9543 | val 2.0202 | gap -0.0659 | lr 1.83e-09 | params 4.77M | host_mem 16.9% | gpu_mem 79.4MB | 767.0 ms/it
