[exp04_head4_emb128_bs16_it1000_do0.1] iter 0/1000 | train_now 4.1883 | train_eval 4.1837 | val 4.1794 | gap 0.0043 | lr 5.94e-06 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 365.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 190/1000 | train_now 2.5128 | train_eval 2.4916 | val 2.4952 | gap -0.0037 | lr 5.85e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 456.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 200/1000 | train_now 2.4922 | train_eval 2.4846 | val 2.4999 | gap -0.0153 | lr 5.82e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 453.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 210/1000 | train_now 2.5127 | train_eval 2.4921 | val 2.4825 | gap 0.0096 | lr 5.78e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 431.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 220/1000 | train_now 2.4603 | train_eval 2.4722 | val 2.4778 | gap -0.0056 | lr 5.74e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 459.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 230/1000 | train_now 2.4742 | train_eval 2.4714 | val 2.4690 | gap 0.0025 | lr 5.70e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 438.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 240/1000 | train_now 2.4852 | train_eval 2.4628 | val 2.4606 | gap 0.0022 | lr 5.65e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 452.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 250/1000 | train_now 2.4758 | train_eval 2.4564 | val 2.4566 | gap -0.0001 | lr 5.60e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 433.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 260/1000 | train_now 2.4671 | train_eval 2.4630 | val 2.4575 | gap 0.0055 | lr 5.54e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 490.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 270/1000 | train_now 2.4813 | train_eval 2.4483 | val 2.4456 | gap 0.0027 | lr 5.49e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 450.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 280/1000 | train_now 2.5071 | train_eval 2.4480 | val 2.4457 | gap 0.0022 | lr 5.43e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 437.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 290/1000 | train_now 2.4464 | train_eval 2.4460 | val 2.4462 | gap -0.0001 | lr 5.36e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 568.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 300/1000 | train_now 2.4743 | train_eval 2.4434 | val 2.4617 | gap -0.0182 | lr 5.30e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 575.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 310/1000 | train_now 2.4093 | train_eval 2.4406 | val 2.4363 | gap 0.0043 | lr 5.23e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 585.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 320/1000 | train_now 2.4666 | train_eval 2.4322 | val 2.4119 | gap 0.0203 | lr 5.16e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 617.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 330/1000 | train_now 2.4586 | train_eval 2.4068 | val 2.4209 | gap -0.0141 | lr 5.08e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 673.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 340/1000 | train_now 2.4582 | train_eval 2.4176 | val 2.4080 | gap 0.0096 | lr 5.01e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 457.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 350/1000 | train_now 2.4417 | train_eval 2.4108 | val 2.4299 | gap -0.0191 | lr 4.93e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 440.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 360/1000 | train_now 2.4249 | train_eval 2.3937 | val 2.4010 | gap -0.0073 | lr 4.85e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 434.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 370/1000 | train_now 2.4184 | train_eval 2.3983 | val 2.4100 | gap -0.0117 | lr 4.76e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 454.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 380/1000 | train_now 2.4295 | train_eval 2.4056 | val 2.3988 | gap 0.0068 | lr 4.68e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 429.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 390/1000 | train_now 2.3999 | train_eval 2.3835 | val 2.3851 | gap -0.0016 | lr 4.59e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 457.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 400/1000 | train_now 2.4342 | train_eval 2.3877 | val 2.3857 | gap 0.0020 | lr 4.50e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 482.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 410/1000 | train_now 2.4271 | train_eval 2.3828 | val 2.3727 | gap 0.0101 | lr 4.41e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 459.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 420/1000 | train_now 2.4067 | train_eval 2.3740 | val 2.3724 | gap 0.0016 | lr 4.32e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 431.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 430/1000 | train_now 2.4178 | train_eval 2.3600 | val 2.3761 | gap -0.0161 | lr 4.22e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 442.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 440/1000 | train_now 2.3749 | train_eval 2.3685 | val 2.3529 | gap 0.0157 | lr 4.12e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 475.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 450/1000 | train_now 2.4280 | train_eval 2.3513 | val 2.3570 | gap -0.0058 | lr 4.03e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 446.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 460/1000 | train_now 2.3670 | train_eval 2.3545 | val 2.3651 | gap -0.0106 | lr 3.93e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 449.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 470/1000 | train_now 2.3462 | train_eval 2.3528 | val 2.3379 | gap 0.0149 | lr 3.83e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 447.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 480/1000 | train_now 2.4067 | train_eval 2.3369 | val 2.3490 | gap -0.0120 | lr 3.73e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 480.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 490/1000 | train_now 2.4167 | train_eval 2.3304 | val 2.3548 | gap -0.0245 | lr 3.62e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 438.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 500/1000 | train_now 2.3338 | train_eval 2.3246 | val 2.3526 | gap -0.0280 | lr 3.52e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 441.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 510/1000 | train_now 2.3649 | train_eval 2.3147 | val 2.3344 | gap -0.0197 | lr 3.42e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 453.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 520/1000 | train_now 2.2869 | train_eval 2.3155 | val 2.3373 | gap -0.0218 | lr 3.31e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 443.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 530/1000 | train_now 2.3812 | train_eval 2.3197 | val 2.3262 | gap -0.0065 | lr 3.21e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 429.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 540/1000 | train_now 2.2687 | train_eval 2.3148 | val 2.3194 | gap -0.0046 | lr 3.10e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 432.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 550/1000 | train_now 2.4568 | train_eval 2.2962 | val 2.3250 | gap -0.0289 | lr 3.00e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 456.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 560/1000 | train_now 2.3953 | train_eval 2.2972 | val 2.3294 | gap -0.0322 | lr 2.90e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 568.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 570/1000 | train_now 2.3686 | train_eval 2.3058 | val 2.3190 | gap -0.0132 | lr 2.79e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 565.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 580/1000 | train_now 2.3072 | train_eval 2.2962 | val 2.3045 | gap -0.0083 | lr 2.69e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 575.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 590/1000 | train_now 2.3580 | train_eval 2.2830 | val 2.3029 | gap -0.0199 | lr 2.58e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 682.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 600/1000 | train_now 2.3192 | train_eval 2.2689 | val 2.2971 | gap -0.0283 | lr 2.48e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 604.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 610/1000 | train_now 2.3227 | train_eval 2.2761 | val 2.2998 | gap -0.0237 | lr 2.38e-04 | params 1.21M | host_mem 16.4% | gpu_mem 36.7MB | 447.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 620/1000 | train_now 2.3541 | train_eval 2.2858 | val 2.3051 | gap -0.0193 | lr 2.27e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 450.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 630/1000 | train_now 2.2821 | train_eval 2.2817 | val 2.2943 | gap -0.0126 | lr 2.17e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 544.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 640/1000 | train_now 2.3103 | train_eval 2.2549 | val 2.2788 | gap -0.0239 | lr 2.07e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 574.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 650/1000 | train_now 2.2870 | train_eval 2.2622 | val 2.2814 | gap -0.0191 | lr 1.97e-04 | params 1.21M | host_mem 16.5% | gpu_mem 36.7MB | 570.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 660/1000 | train_now 2.3547 | train_eval 2.2540 | val 2.2821 | gap -0.0280 | lr 1.88e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 576.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 670/1000 | train_now 2.2687 | train_eval 2.2617 | val 2.2785 | gap -0.0167 | lr 1.78e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 635.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 680/1000 | train_now 2.2663 | train_eval 2.2489 | val 2.2621 | gap -0.0132 | lr 1.68e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 476.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 690/1000 | train_now 2.2811 | train_eval 2.2568 | val 2.2615 | gap -0.0047 | lr 1.59e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 442.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 700/1000 | train_now 2.2596 | train_eval 2.2427 | val 2.2628 | gap -0.0201 | lr 1.50e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 451.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 710/1000 | train_now 2.2656 | train_eval 2.2498 | val 2.2680 | gap -0.0182 | lr 1.41e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 442.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 720/1000 | train_now 2.2819 | train_eval 2.2478 | val 2.2647 | gap -0.0169 | lr 1.32e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 437.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 730/1000 | train_now 2.2616 | train_eval 2.2517 | val 2.2511 | gap 0.0005 | lr 1.24e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 459.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 740/1000 | train_now 2.2599 | train_eval 2.2378 | val 2.2652 | gap -0.0274 | lr 1.15e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 453.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 750/1000 | train_now 2.3178 | train_eval 2.2348 | val 2.2469 | gap -0.0121 | lr 1.07e-04 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 439.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 760/1000 | train_now 2.2416 | train_eval 2.2202 | val 2.2540 | gap -0.0337 | lr 9.93e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 441.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 770/1000 | train_now 2.2965 | train_eval 2.2325 | val 2.2574 | gap -0.0249 | lr 9.16e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 430.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 780/1000 | train_now 2.2670 | train_eval 2.2274 | val 2.2481 | gap -0.0207 | lr 8.42e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 441.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 790/1000 | train_now 2.3115 | train_eval 2.2169 | val 2.2463 | gap -0.0294 | lr 7.71e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 427.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 800/1000 | train_now 2.2591 | train_eval 2.2283 | val 2.2368 | gap -0.0085 | lr 7.02e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 457.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 810/1000 | train_now 2.2612 | train_eval 2.2217 | val 2.2480 | gap -0.0263 | lr 6.36e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 551.5 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 820/1000 | train_now 2.2644 | train_eval 2.2253 | val 2.2486 | gap -0.0233 | lr 5.73e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 587.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 830/1000 | train_now 2.2356 | train_eval 2.2104 | val 2.2470 | gap -0.0366 | lr 5.13e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 562.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 840/1000 | train_now 2.2912 | train_eval 2.2217 | val 2.2390 | gap -0.0173 | lr 4.56e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 576.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 850/1000 | train_now 2.2325 | train_eval 2.2163 | val 2.2363 | gap -0.0200 | lr 4.02e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 639.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 860/1000 | train_now 2.3141 | train_eval 2.2091 | val 2.2376 | gap -0.0285 | lr 3.51e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 481.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 870/1000 | train_now 2.2702 | train_eval 2.2103 | val 2.2456 | gap -0.0353 | lr 3.04e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 426.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 880/1000 | train_now 2.2694 | train_eval 2.2215 | val 2.2326 | gap -0.0111 | lr 2.59e-05 | params 1.21M | host_mem 16.7% | gpu_mem 36.7MB | 450.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 890/1000 | train_now 2.2345 | train_eval 2.2133 | val 2.2366 | gap -0.0233 | lr 2.18e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 464.9 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 900/1000 | train_now 2.3122 | train_eval 2.2042 | val 2.2302 | gap -0.0260 | lr 1.81e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 444.8 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 910/1000 | train_now 2.2656 | train_eval 2.2067 | val 2.2320 | gap -0.0253 | lr 1.47e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 461.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 920/1000 | train_now 2.2317 | train_eval 2.2090 | val 2.2403 | gap -0.0312 | lr 1.16e-05 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 451.2 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 930/1000 | train_now 2.3248 | train_eval 2.2191 | val 2.2328 | gap -0.0137 | lr 8.91e-06 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 429.6 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 940/1000 | train_now 2.2901 | train_eval 2.2240 | val 2.2441 | gap -0.0201 | lr 6.56e-06 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 433.3 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 950/1000 | train_now 2.2812 | train_eval 2.2031 | val 2.2245 | gap -0.0214 | lr 4.56e-06 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 446.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 960/1000 | train_now 2.2447 | train_eval 2.2049 | val 2.2411 | gap -0.0362 | lr 2.92e-06 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 452.7 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 970/1000 | train_now 2.2381 | train_eval 2.2027 | val 2.2376 | gap -0.0349 | lr 1.64e-06 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 446.1 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 980/1000 | train_now 2.2777 | train_eval 2.2059 | val 2.2313 | gap -0.0254 | lr 7.31e-07 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 433.0 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 990/1000 | train_now 2.3079 | train_eval 2.1969 | val 2.2248 | gap -0.0280 | lr 1.83e-07 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 446.4 ms/it
[exp04_head4_emb128_bs16_it1000_do0.1] iter 999/1000 | train_now 2.2880 | train_eval 2.2127 | val 2.2325 | gap -0.0198 | lr 1.83e-09 | params 1.21M | host_mem 16.6% | gpu_mem 36.7MB | 414.4 ms/it
