[exp13_head4_emb256_bs16_it1000_do0.2] iter 0/1000 | train_now 4.2263 | train_eval 4.1727 | val 4.1750 | gap -0.0023 | lr 5.94e-06 | params 4.77M | host_mem 17.0% | gpu_mem 98.5MB | 624.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 580/1000 | train_now 2.2406 | train_eval 2.1682 | val 2.1971 | gap -0.0289 | lr 2.69e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 811.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 590/1000 | train_now 2.2071 | train_eval 2.1641 | val 2.1973 | gap -0.0332 | lr 2.58e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 835.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 600/1000 | train_now 2.2235 | train_eval 2.1483 | val 2.1709 | gap -0.0226 | lr 2.48e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 806.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 610/1000 | train_now 2.2347 | train_eval 2.1369 | val 2.2099 | gap -0.0729 | lr 2.38e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 834.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 620/1000 | train_now 2.1888 | train_eval 2.1379 | val 2.1751 | gap -0.0372 | lr 2.27e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 810.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 630/1000 | train_now 2.2552 | train_eval 2.1468 | val 2.1783 | gap -0.0316 | lr 2.17e-04 | params 4.77M | host_mem 17.4% | gpu_mem 79.4MB | 809.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 640/1000 | train_now 2.1846 | train_eval 2.1287 | val 2.1692 | gap -0.0405 | lr 2.07e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 809.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 650/1000 | train_now 2.2757 | train_eval 2.1375 | val 2.1681 | gap -0.0305 | lr 1.97e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 835.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 660/1000 | train_now 2.2026 | train_eval 2.1251 | val 2.1622 | gap -0.0371 | lr 1.88e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 830.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 670/1000 | train_now 2.2344 | train_eval 2.1054 | val 2.1703 | gap -0.0649 | lr 1.78e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 852.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 680/1000 | train_now 2.1504 | train_eval 2.1106 | val 2.1702 | gap -0.0596 | lr 1.68e-04 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 823.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 690/1000 | train_now 2.1876 | train_eval 2.1100 | val 2.1447 | gap -0.0346 | lr 1.59e-04 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 817.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 700/1000 | train_now 2.1888 | train_eval 2.1002 | val 2.1516 | gap -0.0514 | lr 1.50e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 862.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 710/1000 | train_now 2.1559 | train_eval 2.1111 | val 2.1359 | gap -0.0249 | lr 1.41e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 812.4 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 720/1000 | train_now 2.2294 | train_eval 2.0922 | val 2.1546 | gap -0.0623 | lr 1.32e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 829.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 730/1000 | train_now 2.1688 | train_eval 2.0992 | val 2.1515 | gap -0.0523 | lr 1.24e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 807.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 740/1000 | train_now 2.2023 | train_eval 2.0810 | val 2.1239 | gap -0.0429 | lr 1.15e-04 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 803.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 750/1000 | train_now 2.1464 | train_eval 2.0816 | val 2.1463 | gap -0.0647 | lr 1.07e-04 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 825.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 760/1000 | train_now 2.1756 | train_eval 2.0751 | val 2.1324 | gap -0.0573 | lr 9.93e-05 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 807.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 770/1000 | train_now 2.1228 | train_eval 2.0912 | val 2.1302 | gap -0.0390 | lr 9.16e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 805.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 780/1000 | train_now 2.1875 | train_eval 2.0775 | val 2.1302 | gap -0.0528 | lr 8.42e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 801.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 790/1000 | train_now 2.1494 | train_eval 2.0729 | val 2.1073 | gap -0.0343 | lr 7.71e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 797.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 800/1000 | train_now 2.1256 | train_eval 2.0657 | val 2.1212 | gap -0.0554 | lr 7.02e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 829.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 810/1000 | train_now 2.1298 | train_eval 2.0616 | val 2.1243 | gap -0.0627 | lr 6.36e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 803.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 820/1000 | train_now 2.1716 | train_eval 2.0698 | val 2.1214 | gap -0.0516 | lr 5.73e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 804.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 830/1000 | train_now 2.1727 | train_eval 2.0678 | val 2.1164 | gap -0.0486 | lr 5.13e-05 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 820.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 840/1000 | train_now 2.1141 | train_eval 2.0798 | val 2.1053 | gap -0.0254 | lr 4.56e-05 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 813.7 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 850/1000 | train_now 2.1381 | train_eval 2.0623 | val 2.1177 | gap -0.0554 | lr 4.02e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 861.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 860/1000 | train_now 2.1693 | train_eval 2.0471 | val 2.1343 | gap -0.0872 | lr 3.51e-05 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 808.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 870/1000 | train_now 2.1117 | train_eval 2.0630 | val 2.1202 | gap -0.0573 | lr 3.04e-05 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 803.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 880/1000 | train_now 2.1311 | train_eval 2.0665 | val 2.1101 | gap -0.0436 | lr 2.59e-05 | params 4.77M | host_mem 17.5% | gpu_mem 79.4MB | 801.0 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 890/1000 | train_now 2.1311 | train_eval 2.0627 | val 2.1118 | gap -0.0491 | lr 2.18e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 802.2 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 900/1000 | train_now 2.1440 | train_eval 2.0485 | val 2.0959 | gap -0.0474 | lr 1.81e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 800.1 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 910/1000 | train_now 2.1408 | train_eval 2.0620 | val 2.1085 | gap -0.0465 | lr 1.47e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 828.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 920/1000 | train_now 2.1827 | train_eval 2.0604 | val 2.1056 | gap -0.0452 | lr 1.16e-05 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 804.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 930/1000 | train_now 2.1231 | train_eval 2.0526 | val 2.1139 | gap -0.0613 | lr 8.91e-06 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 803.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 940/1000 | train_now 2.1301 | train_eval 2.0656 | val 2.1178 | gap -0.0522 | lr 6.56e-06 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 805.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 950/1000 | train_now 2.1189 | train_eval 2.0479 | val 2.1204 | gap -0.0725 | lr 4.56e-06 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 800.5 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 960/1000 | train_now 2.1651 | train_eval 2.0480 | val 2.1174 | gap -0.0695 | lr 2.92e-06 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 801.6 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 970/1000 | train_now 2.1651 | train_eval 2.0477 | val 2.1156 | gap -0.0679 | lr 1.64e-06 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 799.3 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 980/1000 | train_now 2.1909 | train_eval 2.0413 | val 2.0981 | gap -0.0567 | lr 7.31e-07 | params 4.77M | host_mem 17.6% | gpu_mem 79.4MB | 803.8 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 990/1000 | train_now 2.1200 | train_eval 2.0602 | val 2.1123 | gap -0.0521 | lr 1.83e-07 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 829.9 ms/it
[exp13_head4_emb256_bs16_it1000_do0.2] iter 999/1000 | train_now 2.1867 | train_eval 2.0625 | val 2.1022 | gap -0.0397 | lr 1.83e-09 | params 4.77M | host_mem 17.7% | gpu_mem 79.4MB | 781.0 ms/it
